speaker_id,session,utt_id,expected_output,candidate_alignment_files
F01,Session1,1,F01_Session1_0001.npy,data/forced_alignments/F01/Session1/wav_headMic/0001.TextGrid|data/forced_alignments/F01/Session1/0001.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/1.TextGrid|data/forced_alignments/F01/Session1/1.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0001.TextGrid
F01,Session1,2,F01_Session1_0002.npy,data/forced_alignments/F01/Session1/wav_headMic/0002.TextGrid|data/forced_alignments/F01/Session1/0002.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/2.TextGrid|data/forced_alignments/F01/Session1/2.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0002.TextGrid
F01,Session1,3,F01_Session1_0003.npy,data/forced_alignments/F01/Session1/wav_headMic/0003.TextGrid|data/forced_alignments/F01/Session1/0003.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/3.TextGrid|data/forced_alignments/F01/Session1/3.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0003.TextGrid
F01,Session1,4,F01_Session1_0004.npy,data/forced_alignments/F01/Session1/wav_headMic/0004.TextGrid|data/forced_alignments/F01/Session1/0004.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/4.TextGrid|data/forced_alignments/F01/Session1/4.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0004.TextGrid
F01,Session1,5,F01_Session1_0005.npy,data/forced_alignments/F01/Session1/wav_headMic/0005.TextGrid|data/forced_alignments/F01/Session1/0005.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/5.TextGrid|data/forced_alignments/F01/Session1/5.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0005.TextGrid
F01,Session1,6,F01_Session1_0006.npy,data/forced_alignments/F01/Session1/wav_headMic/0006.TextGrid|data/forced_alignments/F01/Session1/0006.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/6.TextGrid|data/forced_alignments/F01/Session1/6.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0006.TextGrid
F01,Session1,7,F01_Session1_0007.npy,data/forced_alignments/F01/Session1/wav_headMic/0007.TextGrid|data/forced_alignments/F01/Session1/0007.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/7.TextGrid|data/forced_alignments/F01/Session1/7.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0007.TextGrid
F01,Session1,8,F01_Session1_0008.npy,data/forced_alignments/F01/Session1/wav_headMic/0008.TextGrid|data/forced_alignments/F01/Session1/0008.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/8.TextGrid|data/forced_alignments/F01/Session1/8.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0008.TextGrid
F01,Session1,9,F01_Session1_0009.npy,data/forced_alignments/F01/Session1/wav_headMic/0009.TextGrid|data/forced_alignments/F01/Session1/0009.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/9.TextGrid|data/forced_alignments/F01/Session1/9.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0009.TextGrid
F01,Session1,10,F01_Session1_0010.npy,data/forced_alignments/F01/Session1/wav_headMic/0010.TextGrid|data/forced_alignments/F01/Session1/0010.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/10.TextGrid|data/forced_alignments/F01/Session1/10.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0010.TextGrid
F01,Session1,11,F01_Session1_0011.npy,data/forced_alignments/F01/Session1/wav_headMic/0011.TextGrid|data/forced_alignments/F01/Session1/0011.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/11.TextGrid|data/forced_alignments/F01/Session1/11.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0011.TextGrid
F01,Session1,12,F01_Session1_0012.npy,data/forced_alignments/F01/Session1/wav_headMic/0012.TextGrid|data/forced_alignments/F01/Session1/0012.TextGrid|data/forced_alignments/F01/Session1/wav_headMic/12.TextGrid|data/forced_alignments/F01/Session1/12.TextGrid|data/forced_alignments/data/torgo_raw/F01/Session1/wav_headMic/0012.TextGrid
